sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,5638.0,2.5,1.32,0.08,0.756,3.9
2,6254.0,1.28,1.03,-0.278,0.35,4.23
2,6290.0,1.18,1.07,-0.24,0.29,4.29
1,6155.0,1.07,1.1,-0.06,0.173,4.44
1,6150.97,1.1,1.17,-0.005,0.19,4.43
1,6218.0,1.1,1.11,0.0,0.149,4.62
1,6105.0,1.14,1.1,-0.08,0.215,4.39
1,5380.0,0.96,0.93,0.03,-0.159,4.44
1,5362.0,1.62,0.97,0.03,0.09,4.41
1,5614.0,1.75,1.11,0.15,0.42,4.11
1,5600.0,1.84,0.99,0.1,0.477,3.9
2,5739.0,1.17,1.1,0.28,0.128,4.2
2,5744.0,1.16,1.03,0.27,0.12,4.32
1,6255.73,1.21,1.22,0.18,0.303,4.36
1,6179.0,1.16,1.2,0.09,0.245,4.26
1,4556.03,0.66,0.72,0.305,-0.767,4.65
5,5660.0,0.88,0.87,-0.28,-0.15,4.49
1,5221.52,0.79,0.89,0.04,-0.381,4.59
1,4956.0,5.6,1.85,0.2,1.225,3.2
1,4863.0,5.28,1.41,0.0,1.24,3.06
2,5572.0,1.09,1.0,0.24,0.013,4.25
2,5533.0,1.09,0.97,0.15,-0.001,4.35
2,5820.88,1.26,1.05,0.1,0.214,4.26
1,5868.57,1.3,1.06,0.221,0.26,4.23
1,5853.0,1.15,1.1,0.23,0.144,4.17
1,5903.0,1.24,1.2,0.25,0.22,4.4
1,4840.0,11.16,1.41,-0.21,1.79,2.48
2,5881.0,1.0,1.08,-0.07,0.072,4.45
1,5185.97,0.87,0.88,0.14,-0.307,4.5
1,4559.0,20.15,2.28,0.05,2.3,2.27
1,6200.0,1.19,1.21,0.08,0.281,4.2
1,5905.64,1.47,1.07,0.187,0.377,4.13
2,5487.51,0.92,0.96,-0.427,-0.157,4.49
2,5406.0,0.95,0.7,-0.46,-0.158,4.31
1,4884.0,8.03,1.94,0.07,1.581,3.1
1,3657.0,65.8,1.4,-0.06,2.701,0.8
1,4750.0,9.85,1.15,-0.4,1.647,2.51
1,4155.0,39.0,1.8,-0.09,2.453,1.7
2,4685.0,0.65,0.7,-0.17,-1.046,4.28
1,4181.0,25.11,1.49,0.13,2.464,1.86
1,6651.0,1.49,1.47,0.0,0.583,4.19
1,4820.0,0.74,0.78,0.0,-0.495,4.6
1,4826.89,0.77,0.78,-0.078,-0.542,4.56
1,5040.0,0.67,0.75,-0.18,-0.59,4.19
1,5779.0,1.48,0.95,-0.33,0.339,4.01
1,5845.29,1.58,1.05,-0.293,0.42,4.06
2,5089.0,0.8,0.85,0.09,-0.411,4.27
2,5135.0,0.81,0.85,0.12,-0.377,4.57
2,5084.0,0.84,0.85,0.12,-0.372,4.52
1,5757.15,1.2,1.03,-0.22,0.151,4.3
3,6055.0,1.33,1.24,0.29,0.328,4.3
3,6030.0,1.35,1.12,0.31,0.337,4.23
3,6058.0,1.38,1.19,0.31,0.36,4.32
3,6066.0,1.26,1.25,0.29,0.286,4.22
2,4951.0,4.6,1.58,0.18,1.053,3.4
1,5618.0,1.14,0.99,0.17,0.066,4.32
1,5615.0,1.11,1.0,0.19,0.043,4.16
1,5995.71,1.18,1.1,0.028,0.213,4.33
1,5901.0,1.18,1.05,0.0,0.18,4.19
2,5788.0,2.03,1.22,0.22,0.7,3.99
2,5872.0,1.99,1.35,0.27,0.646,4.05
2,5836.95,2.05,1.05,0.211,0.643,3.84
2,5683.0,2.1,1.25,0.223,0.618,3.89
2,5303.0,2.01,0.91,0.1,0.459,3.79
2,5321.0,1.95,1.1,0.06,0.47,3.94
1,5008.0,9.94,2.13,0.19,1.84,2.97
1,4892.0,9.13,2.12,0.09,1.63,2.81
1,4892.0,9.12,2.39,0.09,1.64,2.71
1,4879.0,10.37,2.16,0.1,1.738,2.74
1,6024.54,1.09,1.12,0.14,0.15,4.41
1,5951.0,1.15,1.1,0.09,0.174,4.32
2,5986.0,1.8,1.1,0.31,0.575,3.97
1,5835.0,1.0,1.05,0.09,0.021,4.46
1,4703.93,0.75,0.75,-0.22,-0.604,4.56
1,4691.0,0.75,0.75,0.08,-0.611,4.56
3,5894.0,0.96,1.1,0.25,0.001,4.3
3,5841.0,1.13,1.05,0.21,0.129,4.35
1,5644.33,1.0,1.0,-0.091,-0.04,4.44
2,5655.0,1.21,1.0,0.3,0.133,4.27
2,5785.0,1.04,1.1,0.37,0.033,4.39
1,5585.0,1.09,1.15,0.56,0.083,4.39
1,5470.0,1.34,0.96,0.46,0.163,4.16
2,5120.0,0.66,0.8,0.01,-0.575,4.49
2,4917.0,0.76,0.81,0.1,-0.518,4.59
2,4965.0,0.76,0.83,0.2,-0.495,4.61
1,4875.0,0.85,0.65,0.17,-0.444,4.52
1,5635.2,1.16,1.0,0.37,0.087,4.31
1,5373.0,0.84,0.9,0.05,-0.273,4.33
1,5377.0,0.87,0.93,0.02,-0.239,4.52
1,4927.0,4.3,1.61,0.25,0.991,3.3
1,5671.0,3.16,1.01,0.19,0.969,3.44
1,5759.29,1.35,1.03,0.129,0.26,4.19
1,6073.0,1.11,1.14,-0.06,0.182,4.4
2,5951.68,1.15,1.09,0.127,0.173,4.36
2,5914.0,1.17,1.07,0.09,0.201,4.36
5,5624.92,1.13,1.0,0.269,0.061,4.33
5,5648.0,1.12,1.06,0.29,0.072,4.37
5,5576.0,1.16,1.05,0.343,0.065,4.33
2,5764.0,1.19,1.1,0.33,0.144,4.19
2,5750.0,1.22,1.05,0.28,0.212,4.31
2,5701.0,1.28,1.02,0.25,0.194,4.23
1,6040.64,1.36,1.12,0.12,0.344,4.22
1,5711.85,1.08,1.02,-0.19,0.045,4.38
1,5698.0,1.07,0.91,-0.121,0.039,4.33
1,6182.43,1.68,1.18,-0.042,0.569,4.06
3,5672.0,1.04,0.91,-0.34,0.037,4.38
3,5664.0,1.06,0.87,-0.24,0.016,4.39
3,5739.0,1.03,1.03,-0.26,0.012,4.43
3,5850.0,1.01,0.91,-0.25,0.034,4.38
1,5071.0,3.4,1.33,-0.07,0.833,3.6
1,5779.0,1.16,1.04,-0.2,0.134,4.32
1,5835.31,1.04,1.05,0.217,0.055,4.42
1,5188.53,0.9,0.88,0.185,-0.278,4.48
1,5240.0,0.82,0.86,0.18,-0.337,4.42
2,5749.7,1.54,1.03,-0.14,0.366,4.08
2,5068.41,0.79,0.85,-0.207,-0.434,4.58
2,6255.0,1.67,1.29,0.01,0.602,4.11
2,6253.06,1.93,1.21,0.01,0.711,3.95
1,5853.0,1.28,1.06,0.06,0.24,4.25
1,5829.0,1.23,1.02,0.03,0.196,4.3
