sy_pnum,st_teff,st_rad,st_mass,st_met,st_lum,st_logg
1,6740.00,1.56,1.37,,,4.22
1,6740.00,1.57,1.40,-0.020,,4.19
1,,1.54,1.36,,,
1,5347.00,1.83,,,0.391,
1,6740.00,1.56,1.37,-0.020,,
1,5811.00,0.98,1.04,,-0.003,4.47
1,5650.00,0.91,0.98,0.020,,4.40
1,4976.25,1.07,,,-0.197,
1,4870.00,2.22,,,0.398,
1,5415.00,2.06,0.94,,0.516,3.78
1,5700.00,2.15,1.25,0.000,,3.85
1,6390.00,1.65,1.01,-0.500,,4.01
1,5825.00,1.49,1.05,,0.362,4.11
1,6730.00,1.52,1.32,-0.100,,4.16
1,6521.00,2.00,1.34,,0.813,3.96
1,5898.00,1.18,,,0.185,
1,6190.00,1.15,1.19,0.050,,4.40
1,6164.00,,,0.150,,4.34
1,6115.00,,,0.120,,4.30
1,6190.00,1.12,,,,4.37
1,6190.00,1.17,1.16,0.050,,
1,6344.00,0.72,1.14,0.150,,4.82
1,6240.00,1.12,1.21,,0.236,4.42
1,6190.00,1.17,1.16,,,4.41
1,5808.33,1.28,,,0.223,
1,6254.00,,,0.040,,4.41
1,6240.00,1.27,1.21,0.040,0.345,4.31
1,6240.00,1.06,1.13,0.040,,4.46
1,6100.00,1.19,1.00,-0.250,,4.19
1,6100.00,1.27,,,,4.29
1,6100.00,1.05,1.02,-0.250,,4.41
1,,1.11,0.99,,0.180,4.34
1,6100.00,1.19,1.00,-0.250,,
1,6090.00,1.02,1.05,-0.200,,4.43
1,6090.00,1.04,1.05,-0.200,,4.42
1,5357.41,1.20,,,0.026,
1,6206.00,1.09,1.19,,0.204,4.44
1,6090.00,1.02,1.05,-0.200,,
3,5288.00,1.00,0.85,0.020,,4.40
3,5256.00,0.86,0.90,0.060,-0.289,4.52
3,5250.00,,0.92,,,
3,5275.00,0.83,0.82,0.050,,4.50
3,5101.20,0.92,,,-0.292,
3,5250.00,0.96,0.88,0.120,,4.42
3,5313.00,0.84,0.88,0.030,,4.54
3,5259.00,0.82,0.91,0.138,,4.57
3,5275.00,0.87,0.93,0.030,,4.50
1,4396.59,0.80,,,-0.665,
1,5080.00,0.90,0.88,0.310,,4.47
1,5143.00,0.99,0.88,0.220,,4.42
1,5080.00,0.77,0.88,0.300,,4.58
1,5143.00,0.56,0.87,0.220,-0.699,4.87
1,5080.00,0.77,0.88,0.300,,
1,,0.80,0.89,,-0.400,4.58
1,5613.00,0.90,0.99,-0.020,-0.142,4.53
1,5127.62,0.95,,,-0.254,
1,5625.00,0.96,0.96,-0.010,,4.54
1,5625.00,0.94,0.99,-0.010,,4.54
1,5625.00,0.96,0.96,-0.010,,
1,5625.00,0.94,0.96,-0.010,,4.48
1,3683.00,,,,,
1,5613.00,1.11,0.94,-0.020,,4.35
1,5859.00,0.98,1.06,,0.011,4.48
1,5740.60,0.98,,,-0.026,
1,5970.00,0.79,1.08,0.000,-0.155,4.67
1,3579.00,0.42,0.42,,-1.574,4.80
1,,,0.51,,,
1,3585.67,,,,,
1,3400.00,0.37,0.41,,,
1,,,0.07,,,
1,3751.50,1.23,,,-0.569,
1,,0.27,0.33,,,
1,4371.00,1.37,0.68,,-0.212,4.00
4,,,,,,
4,6196.00,1.26,1.21,,,4.41
4,,,,,,
4,6088.00,1.30,,,0.320,
4,6156.61,1.27,1.17,,0.317,4.30
4,,,,,,
1,6435.00,1.96,1.30,,0.773,3.97
1,,,,,,
1,,,,,,
1,6500.00,1.78,1.44,,0.104,4.10
1,6293.12,2.03,,,0.763,
1,,,,,,
1,,,,,,
1,,,,,,
1,5138.00,0.91,0.87,0.180,,4.30
1,5105.50,0.91,,,-0.293,
1,6275.11,1.39,1.22,-0.030,0.431,4.24
1,6266.00,1.42,1.30,,0.450,
1,,,,,,
1,,,,,,
1,6400.00,1.38,1.25,-0.007,0.459,4.24
1,,,0.69,,,
1,,,,,,
1,13500.00,0.01,,,,
1,5414.00,0.95,,,,4.44
1,,,,,,
1,,,,,,
1,5414.00,0.95,0.94,,-0.154,4.45
1,5542.00,0.87,0.96,-0.080,,4.60
1,5428.00,0.96,1.01,0.000,-0.140,
1,5597.50,0.88,,,-0.161,
1,4658.00,0.85,0.74,,-0.516,4.45
1,3648.00,0.28,0.29,-0.048,,5.00
1,4012.71,,,,,
1,,0.37,,,,
1,,0.37,,,,
